"target_branch_id","paired_branch_id","mu","Lambda_target","Lambda_pair","gap_abs","gap_rel","sorted_position_target","sorted_position_pair","n_left_target","n_right_target","n_left_pair","n_right_pair"
"bending_desc_01","bending_desc_04","0.036249999999999998","4.721784201844514","6.9923814425069626","2.2705972406624486","0.38766691706418227","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.037499999999999999","4.7237708018547426","6.9877322313732986","2.2639614295185559","0.38662184061178362","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.03875","4.7258176663220546","6.9829991601296824","2.2571814938076278","0.3855524477432018","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.041250000000000002","4.7300896191570585","6.9732980523699917","2.2432084332129332","0.38334343801502746","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.043749999999999997","4.7345949929023909","6.9633098931697681","2.2287149002673772","0.38104513961657277","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.046249999999999999","4.7393288075338491","6.9530640996161255","2.2137352920822764","0.37866248759542842","2","3","1","1","2","2"
"bending_desc_01","bending_desc_04","0.048750000000000002","4.7442858723853893","6.9425877318492306","2.1983018594638413","0.37620015992426048","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.050000000000000003","4.7468464320371924","6.9372709354355226","2.1904245033983303","0.37494051702976361","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.051249999999999997","4.7494608725654972","6.9319056811480042","2.182444808582507","0.37366258451819723","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.053749999999999999","4.7548486009098312","6.9210408215479227","2.1661922206380915","0.37105391157123718","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.056250000000000001","4.7604438566608884","6.9100140217429216","2.1495701650820331","0.36837803408893055","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.058749999999999997","4.766241428113644","6.8988443874169905","2.1326029593033464","0.36563862332912228","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.061249999999999999","4.772236130520942","6.8875494307137748","2.1153133001928328","0.36283914298143077","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.0625","4.775305809289228","6.8818599895838846","2.1065541802946566","0.36141789807918751","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.063750000000000001","4.7784228093484771","6.8761450792280874","2.0977222698796103","0.35998284791591983","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.066250000000000003","4.784796444973372","6.8646459735876126","2.0798495286142407","0.35707280295242788","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.068750000000000006","4.7913519591331868","6.8530654313828352","2.0617134722496484","0.35411191528205493","2","3","1","2","2","2"
"bending_desc_01","bending_desc_04","0.071249999999999994","4.7980844381955752","6.8414156859641526","2.0433312477685774","0.35110292125471987","2","3","1","2","2","2"
